it: 1, min: -130.6482696533203, max: 60.702178955078125, mean: -15.432744026184082, var: 641.2760620117188, global_min: -130.6482696533203
it: 2, min: -127.859130859375, max: 52.08573532104492, mean: -27.98202133178711, var: 766.474365234375, global_min: -130.6482696533203
it: 3, min: -139.79718017578125, max: 47.657920837402344, mean: -41.82880783081055, var: 1018.98046875, global_min: -139.79718017578125
it: 4, min: -179.9875030517578, max: 43.07590103149414, mean: -50.44533920288086, var: 1481.7799072265625, global_min: -179.9875030517578
it: 5, min: -192.88099670410156, max: 49.083126068115234, mean: -74.90109252929688, var: 2078.968017578125, global_min: -192.88099670410156
it: 6, min: -245.17367553710938, max: 11.8134183883667, mean: -107.42533874511719, var: 3492.7900390625, global_min: -245.17367553710938
it: 7, min: -413.9577331542969, max: 19.22833824157715, mean: -157.9383544921875, var: 6740.806640625, global_min: -413.9577331542969
it: 8, min: -474.9841613769531, max: 0.487150639295578, mean: -245.37432861328125, var: 12801.6484375, global_min: -474.9841613769531
it: 9, min: -684.6902465820312, max: 8.5226469039917, mean: -365.1475830078125, var: 18893.609375, global_min: -684.6902465820312
it: 10, min: -630.8494262695312, max: 10.521566390991211, mean: -413.95172119140625, var: 15815.16796875, global_min: -684.6902465820312
it: 11, min: -654.0932006835938, max: -12.363770484924316, mean: -438.5025939941406, var: 9770.7451171875, global_min: -684.6902465820312
it: 12, min: -665.6931762695312, max: -24.743732452392578, mean: -454.34033203125, var: 9148.2099609375, global_min: -684.6902465820312
it: 13, min: -610.0039672851562, max: 23.587160110473633, mean: -463.7467041015625, var: 8478.7431640625, global_min: -684.6902465820312
it: 14, min: -630.0665283203125, max: -3.078918218612671, mean: -500.50811767578125, var: 5557.11865234375, global_min: -684.6902465820312
it: 15, min: -680.505859375, max: -35.009796142578125, mean: -547.8775024414062, var: 3011.614013671875, global_min: -684.6902465820312
it: 16, min: -695.1488647460938, max: -28.646942138671875, mean: -591.1513061523438, var: 4434.9794921875, global_min: -695.1488647460938
it: 17, min: -734.21630859375, max: -242.4420623779297, mean: -635.2947387695312, var: 3001.97314453125, global_min: -734.21630859375
it: 18, min: -819.7986450195312, max: -328.8131408691406, mean: -677.39599609375, var: 2923.3095703125, global_min: -819.7986450195312
it: 19, min: -820.3174438476562, max: -72.97277069091797, mean: -714.3515625, var: 5230.64404296875, global_min: -820.3174438476562
it: 20, min: -868.1416625976562, max: -13.467363357543945, mean: -753.6824340820312, var: 5475.0146484375, global_min: -868.1416625976562
it: 21, min: -888.0497436523438, max: -124.3039779663086, mean: -783.9876098632812, var: 4211.56298828125, global_min: -888.0497436523438
it: 22, min: -926.0789794921875, max: -8.39261531829834, mean: -806.5668334960938, var: 4539.513671875, global_min: -926.0789794921875
it: 23, min: -927.9550170898438, max: -518.47216796875, mean: -843.0322265625, var: 2798.165771484375, global_min: -927.9550170898438
it: 24, min: -943.1863403320312, max: -600.6775512695312, mean: -858.7330322265625, var: 1966.2747802734375, global_min: -943.1863403320312
it: 25, min: -931.30224609375, max: -609.9677124023438, mean: -866.6368408203125, var: 1707.2734375, global_min: -943.1863403320312
it: 26, min: -955.171142578125, max: -735.2440185546875, mean: -879.2311401367188, var: 966.41162109375, global_min: -955.171142578125
it: 27, min: -948.891357421875, max: -8.318229675292969, mean: -884.9769897460938, var: 3086.3955078125, global_min: -955.171142578125
it: 28, min: -956.816162109375, max: -712.40380859375, mean: -896.4780883789062, var: 860.5883178710938, global_min: -956.816162109375
it: 29, min: -952.1373901367188, max: -686.0542602539062, mean: -897.0645141601562, var: 1223.0556640625, global_min: -956.816162109375
it: 30, min: -960.5769653320312, max: -785.9540405273438, mean: -902.082763671875, var: 931.05078125, global_min: -960.5769653320312
it: 31, min: -962.0269775390625, max: -535.0426635742188, mean: -897.8521728515625, var: 1696.509033203125, global_min: -962.0269775390625
it: 32, min: -960.891357421875, max: -769.4888916015625, mean: -902.578125, var: 1012.4702758789062, global_min: -962.0269775390625
it: 33, min: -959.0896606445312, max: -25.940305709838867, mean: -901.2684936523438, var: 3029.10595703125, global_min: -962.0269775390625
it: 34, min: -967.000244140625, max: -741.2425537109375, mean: -911.60546875, var: 1008.653076171875, global_min: -967.000244140625
it: 35, min: -972.4194946289062, max: -735.5863037109375, mean: -916.5418701171875, var: 969.9083862304688, global_min: -972.4194946289062
it: 36, min: -967.053955078125, max: -615.6166381835938, mean: -918.294677734375, var: 1073.1029052734375, global_min: -972.4194946289062
it: 37, min: -974.7682495117188, max: -765.2227783203125, mean: -917.5224609375, var: 820.0801391601562, global_min: -974.7682495117188
it: 38, min: -973.5677490234375, max: -580.050048828125, mean: -917.4039916992188, var: 1782.3450927734375, global_min: -974.7682495117188
it: 39, min: -978.0379028320312, max: -676.3976440429688, mean: -922.6510620117188, var: 1478.578125, global_min: -978.0379028320312
it: 40, min: -972.6708374023438, max: -703.6513671875, mean: -932.1838989257812, var: 837.7251586914062, global_min: -978.0379028320312
it: 41, min: -976.2199096679688, max: -638.1719360351562, mean: -927.3565673828125, var: 1295.502197265625, global_min: -978.0379028320312
it: 42, min: -978.528564453125, max: -779.322509765625, mean: -934.4401245117188, var: 710.91943359375, global_min: -978.528564453125
it: 43, min: -981.4188842773438, max: -820.464599609375, mean: -934.33154296875, var: 678.7156982421875, global_min: -981.4188842773438
it: 44, min: -976.9974365234375, max: -772.6287841796875, mean: -935.7695922851562, var: 744.1373901367188, global_min: -981.4188842773438
it: 45, min: -978.0631103515625, max: -803.7823486328125, mean: -940.7383422851562, var: 498.1493225097656, global_min: -981.4188842773438
it: 46, min: -985.701904296875, max: -755.9855346679688, mean: -939.0662231445312, var: 752.8603515625, global_min: -985.701904296875
