it: 1, min: -34.62881851196289, max: 166.0528564453125, mean: 77.71176147460938, var: 991.3656616210938, global_min: -34.62881851196289
it: 2, min: -20.887401580810547, max: 264.42236328125, mean: 133.67515563964844, var: 2484.279052734375, global_min: -34.62881851196289
it: 3, min: -89.02139282226562, max: 359.686767578125, mean: 96.30341339111328, var: 4932.64990234375, global_min: -89.02139282226562
it: 4, min: -369.85552978515625, max: 533.6553955078125, mean: 92.70413970947266, var: 29882.326171875, global_min: -369.85552978515625
it: 5, min: -591.6611938476562, max: 713.1647338867188, mean: 51.10307693481445, var: 90577.21875, global_min: -591.6611938476562
it: 6, min: -663.839111328125, max: 621.5907592773438, mean: -104.37458801269531, var: 85708.7265625, global_min: -663.839111328125
it: 7, min: -765.8071899414062, max: 435.0166931152344, mean: -331.825927734375, var: 42105.00390625, global_min: -765.8071899414062
it: 8, min: -661.93310546875, max: 203.52220153808594, mean: -345.0464782714844, var: 15283.7919921875, global_min: -765.8071899414062
it: 9, min: -674.3800659179688, max: 10.647655487060547, mean: -344.1531066894531, var: 17698.185546875, global_min: -765.8071899414062
it: 10, min: -748.4288330078125, max: -23.639305114746094, mean: -479.3133544921875, var: 13837.9443359375, global_min: -765.8071899414062
it: 11, min: -864.8842163085938, max: 32.42158889770508, mean: -598.6414184570312, var: 21378.46484375, global_min: -864.8842163085938
it: 12, min: -987.1840209960938, max: 132.65298461914062, mean: -644.1050415039062, var: 35798.71484375, global_min: -987.1840209960938
it: 13, min: -1035.898681640625, max: 320.0193176269531, mean: -720.9336547851562, var: 36791.828125, global_min: -1035.898681640625
it: 14, min: -1126.505859375, max: 61.712135314941406, mean: -840.2462158203125, var: 17610.767578125, global_min: -1126.505859375
it: 15, min: -1297.8226318359375, max: -286.5107116699219, mean: -893.6063842773438, var: 11492.791015625, global_min: -1297.8226318359375
it: 16, min: -1379.9820556640625, max: 448.9624328613281, mean: -978.2889404296875, var: 34926.3515625, global_min: -1379.9820556640625
it: 17, min: -1432.783935546875, max: 435.6483154296875, mean: -1084.4051513671875, var: 62702.85546875, global_min: -1432.783935546875
