it: 1, min: -16.599193572998047, max: 81.91417694091797, mean: 41.77947998046875, var: 781.981689453125
it: 2, min: 27.79615020751953, max: 233.05865478515625, mean: 103.94625854492188, var: 1908.04248046875
it: 3, min: 74.6656494140625, max: 403.44091796875, mean: 198.7919464111328, var: 5676.96337890625
it: 4, min: 276.1412353515625, max: 599.26513671875, mean: 408.73583984375, var: 7819.98046875
it: 5, min: 253.6298065185547, max: 709.5579833984375, mean: 500.51336669921875, var: 11430.35546875
it: 6, min: 221.06005859375, max: 651.39306640625, mean: 485.89251708984375, var: 12351.802734375
it: 7, min: 279.29498291015625, max: 834.0860595703125, mean: 566.08056640625, var: 21942.724609375
it: 8, min: 297.3497009277344, max: 791.4764404296875, mean: 473.989501953125, var: 15567.341796875
it: 9, min: 192.82730102539062, max: 612.9118041992188, mean: 460.5519104003906, var: 13673.3359375
it: 10, min: 298.0693359375, max: 755.9384765625, mean: 493.2884521484375, var: 13881.759765625
it: 11, min: 275.09149169921875, max: 757.697509765625, mean: 458.7290344238281, var: 12570.0615234375
it: 12, min: 233.08648681640625, max: 689.4442138671875, mean: 482.66180419921875, var: 13495.4873046875
it: 13, min: 170.076416015625, max: 1307.4736328125, mean: 474.620361328125, var: 66260.046875
it: 14, min: 254.8721466064453, max: 646.1915283203125, mean: 472.98651123046875, var: 12744.2529296875
it: 15, min: 335.9597473144531, max: 666.7281494140625, mean: 485.654541015625, var: 10123.720703125
it: 16, min: 277.93743896484375, max: 782.4525756835938, mean: 504.6343994140625, var: 13988.53515625
it: 17, min: 235.40997314453125, max: 633.0792236328125, mean: 471.5810852050781, var: 10219.4453125
it: 18, min: 196.01315307617188, max: 882.6420288085938, mean: 523.1201171875, var: 22323.609375
it: 19, min: 259.8024597167969, max: 679.732421875, mean: 458.32196044921875, var: 12554.693359375
it: 20, min: 212.57101440429688, max: 798.4688720703125, mean: 487.3048095703125, var: 29139.384765625
it: 21, min: 264.65765380859375, max: 935.9569091796875, mean: 511.1902770996094, var: 28302.4375
it: 22, min: 386.63995361328125, max: 741.3970947265625, mean: 519.1083374023438, var: 11781.6025390625
it: 23, min: 297.2216491699219, max: 735.1171264648438, mean: 473.8250732421875, var: 12139.095703125
it: 24, min: 323.57391357421875, max: 716.6961669921875, mean: 502.7320556640625, var: 16334.056640625
it: 25, min: 206.01382446289062, max: 709.2866821289062, mean: 441.01654052734375, var: 15749.791015625
it: 26, min: 223.7081298828125, max: 699.138427734375, mean: 480.00213623046875, var: 17403.849609375
it: 27, min: 253.90066528320312, max: 630.8153686523438, mean: 478.3140869140625, var: 13190.197265625
it: 28, min: 29.7874755859375, max: 834.1652221679688, mean: 420.5001220703125, var: 44097.5546875
it: 29, min: 341.7130126953125, max: 662.6844482421875, mean: 494.15216064453125, var: 11966.16796875
