fitness: [[ 3.28824222e-01  4.78460876e+02]
 [ 3.73028641e+01  4.84980225e+02]
 [-8.75507690e+02  4.75874725e+02]
 [-5.20155762e+02  4.64287720e+02]
 [-1.09926050e+03  4.96744507e+02]
 [-7.30375183e+02  4.65452515e+02]
 [-1.27422949e+03  4.81032440e+02]
 [-1.43247223e+02  5.00005615e+02]
 [-1.53438000e+03  4.99219757e+02]
 [-5.72797668e+02  4.56533569e+02]
 [-3.17015869e+02  4.63738983e+02]
 [-1.66825391e+03  4.97006409e+02]
 [-9.04892212e+02  4.68966034e+02]
 [-9.76361511e+02  4.79941925e+02]
 [-2.86984070e+02  4.94140015e+02]
 [-9.17232990e-01  4.79311615e+02]
 [-1.67807251e+02  4.85498718e+02]
 [-1.70886377e+03  5.09564270e+02]
 [-5.56035645e+02  4.59466797e+02]
 [-3.45836731e+02  4.53625458e+02]
 [-5.66230103e+02  4.63580109e+02]
 [-9.23264847e+01  4.53982483e+02]
 [-3.62222743e+00  4.55102112e+02]
 [ 8.85047817e+00  5.01372528e+02]
 [ 8.65897980e+01  4.87415619e+02]
 [-1.56898102e+02  4.94855042e+02]
 [-8.02080444e+02  4.61776947e+02]
 [-7.43031677e+02  4.63596252e+02]
 [-1.03835046e+03  4.88242249e+02]
 [ 7.23511429e+01  4.86762573e+02]
 [-6.06623413e+02  4.62107574e+02]
 [-3.30474625e+01  4.50964691e+02]
 [-1.21417200e+03  5.04389618e+02]
 [ 8.36956482e+01  4.81990997e+02]
 [-1.34542395e+03  4.96552582e+02]
 [-6.29283264e+02  4.60596405e+02]
 [-7.20380615e+02  4.60434814e+02]
 [-1.66445145e+02  4.91442261e+02]
 [ 8.93213043e+01  4.81702881e+02]
 [ 1.44742676e+02  4.93555267e+02]
 [-1.89658966e+02  4.99563690e+02]
 [-3.90545013e+02  4.54688873e+02]
 [-1.15607349e+03  4.86050354e+02]
 [-6.44598694e+02  4.63934143e+02]
 [ 1.45860840e+02  4.68645142e+02]
 [-6.15519287e+02  4.71416412e+02]
 [-5.63522095e+02  4.72380219e+02]
 [ 1.62715164e+02  4.79485992e+02]
 [-7.69416077e+02  4.67962219e+02]
 [-1.22381824e+03  4.93529694e+02]
 [-3.00336365e+02  4.57038971e+02]
