fitness: [[ 1.50685272e+01  4.86253510e+02]
 [-1.08660156e+03  4.85542023e+02]
 [-1.09343579e+03  4.76414429e+02]
 [-8.44325745e+02  4.79737183e+02]
 [-9.06688599e+02  4.84497192e+02]
 [-3.58429504e+02  4.50559326e+02]
 [-6.98290634e+01  4.91572723e+02]
 [-5.76669250e+02  4.69668945e+02]
 [-2.80976257e+01  4.72135742e+02]
 [-8.42858826e+02  4.72413940e+02]
 [-5.14122131e+02  4.59088379e+02]
 [ 2.06089294e+02  4.99393555e+02]
 [-1.33046826e+03  4.92263458e+02]
 [ 8.67243271e+01  4.86349762e+02]
 [-1.53629431e+03  5.12976746e+02]
 [-3.17196259e+02  4.66174133e+02]
 [-1.07077954e+03  4.73769592e+02]
 [-8.08495056e+02  4.62412292e+02]
 [-8.23786255e+02  4.82262421e+02]
 [ 6.39192772e+00  4.76332825e+02]
 [-9.02920349e+02  4.75526581e+02]
 [ 2.09207413e+02  4.92666962e+02]
 [-1.26296875e+03  4.94042236e+02]
 [-2.10429020e+01  4.67412445e+02]
 [ 1.00218842e+02  4.68243073e+02]
 [-7.08210571e+02  4.64150818e+02]
 [-6.58031677e+02  4.66657562e+02]
 [-8.03446594e+02  4.77081543e+02]
 [-2.73096313e+02  4.81791656e+02]
 [-5.06947021e+01  4.81242584e+02]
 [-9.82264832e+02  4.80915833e+02]
 [-8.97634949e+02  4.81419800e+02]
 [-7.62964783e+02  4.59534912e+02]
 [-6.63878845e+02  4.74303955e+02]
 [-6.73883057e+02  4.64316467e+02]
 [-5.98922180e+02  4.61666595e+02]
 [-1.50415271e+03  5.00441742e+02]
 [-1.15728503e+03  4.70431274e+02]
 [-6.32260246e+01  4.95918427e+02]
 [-1.35026111e+03  4.94516876e+02]
 [-7.60804016e+02  4.64694061e+02]
 [-4.73701324e+01  4.63324310e+02]
 [ 4.25432243e+01  4.56399109e+02]
 [-6.86402954e+02  4.64059540e+02]
 [-8.84068420e+02  4.80835785e+02]
 [-8.55629517e+02  4.87378021e+02]
 [-2.59960938e+01  4.79139862e+02]
 [-1.10010620e+03  4.86242096e+02]
 [-7.24219543e+02  4.75798737e+02]
 [ 5.60157814e+01  4.81025970e+02]
 [ 3.95391541e+01  4.64785797e+02]
 [-1.44396936e+03  5.01517792e+02]
 [-1.65099411e+01  4.91779663e+02]
 [-4.65301371e+00  4.56567169e+02]
 [-5.86856079e+02  4.59034210e+02]
 [-5.43968079e+02  4.61952271e+02]
 [-7.40887939e+02  4.65382965e+02]
 [-8.93034790e+02  4.63873535e+02]
 [ 6.15556984e+01  4.96723877e+02]
 [-2.46711609e+02  4.70425659e+02]
 [-8.91412476e+02  4.79845001e+02]
 [ 1.52952042e+02  4.72333740e+02]
