it: 1, min: -198.34878540039062, max: -16.194467544555664, mean: -48.54594039916992, var: 1154.5738525390625, global_min: -198.34878540039062
it: 2, min: -130.27647399902344, max: -54.16642761230469, mean: -76.22508239746094, var: 107.48824310302734, global_min: -198.34878540039062
it: 3, min: -138.06126403808594, max: -52.819091796875, mean: -96.4877700805664, var: 225.76589965820312, global_min: -198.34878540039062
it: 4, min: -152.55555725097656, max: -89.15003204345703, mean: -120.45773315429688, var: 109.12232208251953, global_min: -198.34878540039062
it: 5, min: -208.54721069335938, max: -131.61373901367188, mean: -165.3256072998047, var: 206.63954162597656, global_min: -208.54721069335938
it: 6, min: -219.1375274658203, max: -28.395235061645508, mean: -161.8854522705078, var: 5657.03466796875, global_min: -219.1375274658203
it: 7, min: -217.7156524658203, max: -21.545202255249023, mean: -107.65169525146484, var: 6723.77099609375, global_min: -219.1375274658203
it: 8, min: -225.57664489746094, max: -21.17522430419922, mean: -160.56442260742188, var: 4996.763671875, global_min: -225.57664489746094
it: 9, min: -241.2073211669922, max: -20.320789337158203, mean: -154.06373596191406, var: 6125.65966796875, global_min: -241.2073211669922
it: 10, min: -240.35594177246094, max: -22.618453979492188, mean: -202.5301513671875, var: 1566.7071533203125, global_min: -241.2073211669922
it: 11, min: -228.01708984375, max: -189.94102478027344, mean: -210.96910095214844, var: 28.204301834106445, global_min: -241.2073211669922
it: 12, min: -221.36846923828125, max: -184.69821166992188, mean: -210.4683380126953, var: 27.023733139038086, global_min: -241.2073211669922
it: 13, min: -219.46299743652344, max: -201.42088317871094, mean: -211.09886169433594, var: 9.953742980957031, global_min: -241.2073211669922
it: 14, min: -218.7581787109375, max: -201.91461181640625, mean: -211.3618927001953, var: 8.886219024658203, global_min: -241.2073211669922
it: 15, min: -219.7938995361328, max: -198.07191467285156, mean: -212.2810516357422, var: 10.453902244567871, global_min: -241.2073211669922
it: 16, min: -218.87965393066406, max: -199.66285705566406, mean: -212.57855224609375, var: 10.520638465881348, global_min: -241.2073211669922
it: 17, min: -219.8551025390625, max: -206.40501403808594, mean: -213.56692504882812, var: 5.939839839935303, global_min: -241.2073211669922
it: 18, min: -221.59107971191406, max: -205.48216247558594, mean: -214.1337432861328, var: 6.239615440368652, global_min: -241.2073211669922
it: 19, min: -222.4629669189453, max: -202.28903198242188, mean: -215.48190307617188, var: 8.168244361877441, global_min: -241.2073211669922
it: 20, min: -233.4791259765625, max: -94.36978149414062, mean: -218.5612030029297, var: 47.46438980102539, global_min: -241.2073211669922
it: 21, min: -247.04840087890625, max: -42.639339447021484, mean: -206.5207977294922, var: 2267.800048828125, global_min: -247.04840087890625
it: 22, min: -257.1080627441406, max: -27.94362449645996, mean: -192.18109130859375, var: 4453.24609375, global_min: -257.1080627441406
