it: 1, min: -227.34524536132812, max: -76.90179443359375, mean: -99.65740203857422, var: 469.7013854980469, global_min: -227.34524536132812
it: 2, min: -179.7108154296875, max: -76.92532348632812, mean: -104.61552429199219, var: 338.6839294433594, global_min: -227.34524536132812
it: 3, min: -201.8704071044922, max: -67.69116973876953, mean: -110.7777099609375, var: 397.0887451171875, global_min: -227.34524536132812
it: 4, min: -206.46011352539062, max: -80.94200897216797, mean: -117.01846313476562, var: 417.5260009765625, global_min: -227.34524536132812
it: 5, min: -226.86985778808594, max: -86.46766662597656, mean: -121.8555908203125, var: 459.9715881347656, global_min: -227.34524536132812
it: 6, min: -222.822265625, max: -92.34840393066406, mean: -127.10298919677734, var: 524.98681640625, global_min: -227.34524536132812
it: 7, min: -235.0009002685547, max: -88.14521789550781, mean: -128.72442626953125, var: 507.0675964355469, global_min: -235.0009002685547
it: 8, min: -244.63063049316406, max: -92.5695571899414, mean: -135.06256103515625, var: 715.2123413085938, global_min: -244.63063049316406
it: 9, min: -269.6848449707031, max: -92.01113891601562, mean: -147.67575073242188, var: 1084.4246826171875, global_min: -269.6848449707031
it: 10, min: -314.7577209472656, max: -92.18406677246094, mean: -159.36517333984375, var: 1345.5709228515625, global_min: -314.7577209472656
it: 11, min: -324.56256103515625, max: -98.16557312011719, mean: -173.04507446289062, var: 1789.579345703125, global_min: -324.56256103515625
it: 12, min: -355.8358154296875, max: -92.84980773925781, mean: -195.4167938232422, var: 2699.620849609375, global_min: -355.8358154296875
it: 13, min: -413.9183044433594, max: -98.57183837890625, mean: -216.3487091064453, var: 3494.276123046875, global_min: -413.9183044433594
it: 14, min: -449.6544494628906, max: -115.14607238769531, mean: -234.70147705078125, var: 4346.46875, global_min: -449.6544494628906
it: 15, min: -480.25653076171875, max: -106.16439819335938, mean: -256.2381896972656, var: 4328.93798828125, global_min: -480.25653076171875
it: 16, min: -480.28997802734375, max: -88.44893646240234, mean: -269.7568359375, var: 4832.7412109375, global_min: -480.28997802734375
it: 17, min: -537.6774291992188, max: -131.8336944580078, mean: -289.1150817871094, var: 5754.29736328125, global_min: -537.6774291992188
it: 18, min: -563.1514892578125, max: -141.08547973632812, mean: -302.4669189453125, var: 6011.1259765625, global_min: -563.1514892578125
it: 19, min: -635.1626586914062, max: -94.31965637207031, mean: -318.8746337890625, var: 7175.2021484375, global_min: -635.1626586914062
it: 20, min: -626.8201904296875, max: -103.9940414428711, mean: -331.4662170410156, var: 7766.7392578125, global_min: -635.1626586914062
it: 21, min: -658.6152954101562, max: -93.9732894897461, mean: -328.3218688964844, var: 6773.76611328125, global_min: -658.6152954101562
it: 22, min: -661.8027954101562, max: -122.27336120605469, mean: -336.7681579589844, var: 6258.81787109375, global_min: -661.8027954101562
it: 23, min: -625.7805786132812, max: -117.70960235595703, mean: -345.0130920410156, var: 7879.48486328125, global_min: -661.8027954101562
it: 24, min: -690.9647827148438, max: -145.7776641845703, mean: -344.0499267578125, var: 8424.70703125, global_min: -690.9647827148438
it: 25, min: -706.781494140625, max: -148.14312744140625, mean: -343.9802551269531, var: 7109.4375, global_min: -706.781494140625
it: 26, min: -693.4620971679688, max: -179.7135009765625, mean: -357.84405517578125, var: 6467.50732421875, global_min: -706.781494140625
it: 27, min: -675.6259155273438, max: -173.68878173828125, mean: -367.9039001464844, var: 6884.974609375, global_min: -706.781494140625
it: 28, min: -722.23583984375, max: -162.18585205078125, mean: -376.5225830078125, var: 7268.53857421875, global_min: -722.23583984375
it: 29, min: -742.9824829101562, max: -203.73289489746094, mean: -384.8424072265625, var: 8438.3232421875, global_min: -742.9824829101562
it: 30, min: -767.9796752929688, max: -216.22720336914062, mean: -402.3670349121094, var: 8753.939453125, global_min: -767.9796752929688
it: 31, min: -834.2781982421875, max: -201.8004150390625, mean: -403.5338134765625, var: 9566.9677734375, global_min: -834.2781982421875
it: 32, min: -838.6669921875, max: -183.25218200683594, mean: -417.3512878417969, var: 10419.3427734375, global_min: -838.6669921875
it: 33, min: -879.5111694335938, max: -183.62652587890625, mean: -421.4968566894531, var: 9636.748046875, global_min: -879.5111694335938
it: 34, min: -886.1067504882812, max: -251.10916137695312, mean: -431.4385986328125, var: 11889.7568359375, global_min: -886.1067504882812
it: 35, min: -815.0182495117188, max: -220.06446838378906, mean: -429.32537841796875, var: 8262.6494140625, global_min: -886.1067504882812
it: 36, min: -900.5201416015625, max: -221.10064697265625, mean: -433.6681213378906, var: 10604.21484375, global_min: -900.5201416015625
it: 37, min: -888.4727172851562, max: -239.103759765625, mean: -442.32928466796875, var: 10070.94140625, global_min: -900.5201416015625
it: 38, min: -900.666259765625, max: -244.13262939453125, mean: -454.1394348144531, var: 11202.5673828125, global_min: -900.666259765625
it: 39, min: -925.1620483398438, max: -253.01708984375, mean: -459.96575927734375, var: 11378.7822265625, global_min: -925.1620483398438
it: 40, min: -920.5733642578125, max: -268.7692565917969, mean: -466.39654541015625, var: 10334.66796875, global_min: -925.1620483398438
it: 41, min: -968.3295288085938, max: -273.06939697265625, mean: -483.2936706542969, var: 12368.359375, global_min: -968.3295288085938
it: 42, min: -895.562255859375, max: -290.588623046875, mean: -480.03515625, var: 8703.5537109375, global_min: -968.3295288085938
it: 43, min: -930.3677368164062, max: -246.3258056640625, mean: -485.8762512207031, var: 9177.7734375, global_min: -968.3295288085938
it: 44, min: -966.3003540039062, max: -198.75460815429688, mean: -487.63787841796875, var: 11117.814453125, global_min: -968.3295288085938
it: 45, min: -914.5972900390625, max: -262.0849304199219, mean: -479.6437072753906, var: 7811.73974609375, global_min: -968.3295288085938
it: 46, min: -942.3365478515625, max: -292.96734619140625, mean: -476.3045959472656, var: 8637.3935546875, global_min: -968.3295288085938
it: 47, min: -919.6062622070312, max: -252.8087158203125, mean: -495.7652893066406, var: 8941.0986328125, global_min: -968.3295288085938
it: 48, min: -988.0741577148438, max: -316.4664611816406, mean: -495.38525390625, var: 8467.279296875, global_min: -988.0741577148438
it: 49, min: -945.2216186523438, max: -283.49005126953125, mean: -501.2500915527344, var: 9575.3916015625, global_min: -988.0741577148438
it: 50, min: -948.802001953125, max: -259.1824951171875, mean: -507.38525390625, var: 9404.0263671875, global_min: -988.0741577148438
it: 51, min: -924.4002075195312, max: -292.8502197265625, mean: -514.9801635742188, var: 10281.0185546875, global_min: -988.0741577148438
it: 52, min: -988.874755859375, max: -292.2757263183594, mean: -516.7354125976562, var: 13495.65234375, global_min: -988.874755859375
it: 53, min: -1050.265869140625, max: -288.9985656738281, mean: -523.2166748046875, var: 10855.16015625, global_min: -1050.265869140625
it: 54, min: -929.952392578125, max: -276.8740539550781, mean: -522.3560180664062, var: 9252.7744140625, global_min: -1050.265869140625
it: 55, min: -1003.6679077148438, max: -293.2295837402344, mean: -517.0293579101562, var: 10952.1171875, global_min: -1050.265869140625
it: 56, min: -1029.298828125, max: -284.06829833984375, mean: -511.0982666015625, var: 9356.693359375, global_min: -1050.265869140625
it: 57, min: -948.4187622070312, max: -273.8046875, mean: -520.5285034179688, var: 11457.4521484375, global_min: -1050.265869140625
it: 58, min: -1043.04345703125, max: -259.3890686035156, mean: -516.193603515625, var: 10327.9130859375, global_min: -1050.265869140625
it: 59, min: -954.54296875, max: -272.2402648925781, mean: -520.0712890625, var: 10198.6708984375, global_min: -1050.265869140625
it: 60, min: -987.4036254882812, max: -256.2605895996094, mean: -526.1459350585938, var: 10859.8681640625, global_min: -1050.265869140625
it: 61, min: -1047.06005859375, max: -171.3246612548828, mean: -529.620361328125, var: 11439.8017578125, global_min: -1050.265869140625
it: 62, min: -887.4261474609375, max: -280.42620849609375, mean: -525.5130004882812, var: 8752.73828125, global_min: -1050.265869140625
it: 63, min: -1055.084716796875, max: -319.8897399902344, mean: -522.6826171875, var: 9049.5068359375, global_min: -1055.084716796875
it: 64, min: -904.6810913085938, max: -328.0843811035156, mean: -517.2319946289062, var: 6842.99462890625, global_min: -1055.084716796875
it: 65, min: -990.041748046875, max: -298.20361328125, mean: -529.26513671875, var: 7814.32470703125, global_min: -1055.084716796875
it: 66, min: -987.7314453125, max: -288.79888916015625, mean: -525.0342407226562, var: 9084.240234375, global_min: -1055.084716796875
it: 67, min: -831.4215087890625, max: -303.9842224121094, mean: -518.8340454101562, var: 6657.6611328125, global_min: -1055.084716796875
it: 68, min: -948.4588012695312, max: -229.65980529785156, mean: -527.8724365234375, var: 7409.513671875, global_min: -1055.084716796875
it: 69, min: -916.5768432617188, max: -265.023681640625, mean: -533.6550903320312, var: 7781.0048828125, global_min: -1055.084716796875
it: 70, min: -907.9993896484375, max: -300.7294921875, mean: -530.6126708984375, var: 6273.6005859375, global_min: -1055.084716796875
it: 71, min: -893.70166015625, max: -259.0262451171875, mean: -520.6491088867188, var: 6060.91845703125, global_min: -1055.084716796875
it: 72, min: -895.69970703125, max: -290.46630859375, mean: -518.8906860351562, var: 5539.5390625, global_min: -1055.084716796875
it: 73, min: -954.0103149414062, max: -245.05078125, mean: -518.5620727539062, var: 6700.2333984375, global_min: -1055.084716796875
it: 74, min: -926.5222778320312, max: -167.35215759277344, mean: -522.4444580078125, var: 6089.86865234375, global_min: -1055.084716796875
it: 75, min: -936.6466064453125, max: -328.4945068359375, mean: -519.5263061523438, var: 5663.7900390625, global_min: -1055.084716796875
it: 76, min: -880.0187377929688, max: -300.104736328125, mean: -519.1338500976562, var: 5146.1708984375, global_min: -1055.084716796875
it: 77, min: -825.4749755859375, max: -246.7187957763672, mean: -526.523681640625, var: 5193.3876953125, global_min: -1055.084716796875
it: 78, min: -885.69189453125, max: -307.0817565917969, mean: -531.5899658203125, var: 5021.73779296875, global_min: -1055.084716796875
it: 79, min: -783.1768798828125, max: -331.8635559082031, mean: -532.1680297851562, var: 5408.0390625, global_min: -1055.084716796875
it: 80, min: -1006.9052124023438, max: -314.8429870605469, mean: -542.5857543945312, var: 5855.8349609375, global_min: -1055.084716796875
it: 81, min: -821.7960815429688, max: -369.0843200683594, mean: -542.0069580078125, var: 5599.892578125, global_min: -1055.084716796875
it: 82, min: -893.5377197265625, max: -336.5151672363281, mean: -550.1137084960938, var: 7238.669921875, global_min: -1055.084716796875
it: 83, min: -1057.490478515625, max: -355.3384704589844, mean: -555.3335571289062, var: 8581.8818359375, global_min: -1057.490478515625
it: 84, min: -878.9679565429688, max: -295.5785217285156, mean: -559.6749267578125, var: 7214.40478515625, global_min: -1057.490478515625
it: 85, min: -1055.6597900390625, max: -336.8819885253906, mean: -567.2714233398438, var: 9929.3564453125, global_min: -1057.490478515625
it: 86, min: -962.541748046875, max: -224.3552703857422, mean: -561.97802734375, var: 8802.8037109375, global_min: -1057.490478515625
it: 87, min: -1010.8746948242188, max: -318.6978454589844, mean: -566.6166381835938, var: 10941.9697265625, global_min: -1057.490478515625
it: 88, min: -1019.965087890625, max: -250.78634643554688, mean: -576.8312377929688, var: 11119.955078125, global_min: -1057.490478515625
it: 89, min: -967.1883544921875, max: -332.68988037109375, mean: -568.8009033203125, var: 11151.966796875, global_min: -1057.490478515625
it: 90, min: -1059.38427734375, max: -367.5363464355469, mean: -579.2918701171875, var: 11296.4736328125, global_min: -1059.38427734375
it: 91, min: -907.4058837890625, max: -290.7383117675781, mean: -568.9945068359375, var: 9960.865234375, global_min: -1059.38427734375
it: 92, min: -1028.158935546875, max: -293.85955810546875, mean: -553.561767578125, var: 9861.3671875, global_min: -1059.38427734375
