it: 1, min: -7886.88671875, max: -3320.344970703125, mean: -5087.681640625, var: 1034509.25, global_min: -7886.88671875
it: 2, min: -15034.44921875, max: -8514.2099609375, mean: -11219.0908203125, var: 3470115.75, global_min: -15034.44921875
it: 3, min: -29684.3125, max: -16205.22265625, mean: -22993.6015625, var: 13644809.0, global_min: -29684.3125
it: 4, min: -67119.1640625, max: -30151.78125, mean: -46872.92578125, var: 60035144.0, global_min: -67119.1640625
it: 5, min: -109243.109375, max: -37527.16796875, mean: -60298.21875, var: 131210560.0, global_min: -109243.109375
it: 6, min: -81676.375, max: -50813.5546875, mean: -60738.4140625, var: 52513948.0, global_min: -109243.109375
it: 7, min: -102883.1953125, max: -49572.22265625, mean: -63035.71875, var: 120183984.0, global_min: -109243.109375
it: 8, min: -78432.34375, max: -47643.26171875, mean: -60852.4921875, var: 43699176.0, global_min: -109243.109375
it: 9, min: -94259.9921875, max: -47781.8671875, mean: -65181.38671875, var: 112553768.0, global_min: -109243.109375
it: 10, min: -72916.2265625, max: -45038.28515625, mean: -62140.5703125, var: 55987772.0, global_min: -109243.109375
it: 11, min: -82013.7421875, max: -44844.30859375, mean: -60520.20703125, var: 50927700.0, global_min: -109243.109375
it: 12, min: -102105.3359375, max: -49853.35546875, mean: -65728.7578125, var: 90296672.0, global_min: -109243.109375
it: 13, min: -96615.921875, max: -40142.66796875, mean: -62289.41796875, var: 111673944.0, global_min: -109243.109375
it: 14, min: -74368.703125, max: -50714.7578125, mean: -62549.4765625, var: 29098970.0, global_min: -109243.109375
it: 15, min: -75099.1875, max: -46889.56640625, mean: -61800.0859375, var: 56683160.0, global_min: -109243.109375
it: 16, min: -80964.6015625, max: -45824.30078125, mean: -63608.8046875, var: 53331040.0, global_min: -109243.109375
it: 17, min: -82159.546875, max: -46044.5859375, mean: -64292.0078125, var: 66694188.0, global_min: -109243.109375
it: 18, min: -75635.3828125, max: -46199.91015625, mean: -62063.83984375, var: 49778492.0, global_min: -109243.109375
it: 19, min: -108944.8046875, max: -46282.85546875, mean: -61749.65625, var: 124827304.0, global_min: -109243.109375
it: 20, min: -80131.7578125, max: -48593.22265625, mean: -64658.546875, var: 44221880.0, global_min: -109243.109375
it: 21, min: -81033.4140625, max: -51853.796875, mean: -63857.6328125, var: 47264376.0, global_min: -109243.109375
it: 22, min: -104197.6875, max: -44740.0390625, mean: -65930.796875, var: 132867568.0, global_min: -109243.109375
it: 23, min: -84129.7734375, max: -42586.11328125, mean: -65079.546875, var: 51683392.0, global_min: -109243.109375
it: 24, min: -92600.25, max: -50283.94921875, mean: -64407.3828125, var: 82477832.0, global_min: -109243.109375
it: 25, min: -81785.53125, max: -56097.515625, mean: -65496.546875, var: 43946372.0, global_min: -109243.109375
it: 26, min: -81408.0703125, max: -38363.55078125, mean: -63408.3203125, var: 67195520.0, global_min: -109243.109375
it: 27, min: -77223.328125, max: -48944.5078125, mean: -62803.4609375, var: 41666748.0, global_min: -109243.109375
it: 28, min: -94846.8671875, max: -43739.30859375, mean: -64062.92578125, var: 100606304.0, global_min: -109243.109375
it: 29, min: -97450.2265625, max: -37732.76953125, mean: -62222.33203125, var: 138879360.0, global_min: -109243.109375
it: 30, min: -86991.0234375, max: -46620.96875, mean: -64322.9296875, var: 105134640.0, global_min: -109243.109375
it: 31, min: -97393.0703125, max: -44446.625, mean: -64673.04296875, var: 101399464.0, global_min: -109243.109375
it: 32, min: -87343.65625, max: -38479.8125, mean: -62148.92578125, var: 107158800.0, global_min: -109243.109375
it: 33, min: -90937.5546875, max: -45128.6796875, mean: -66510.515625, var: 108405680.0, global_min: -109243.109375
it: 34, min: -103428.5859375, max: -42866.25, mean: -64945.453125, var: 144818048.0, global_min: -109243.109375
