it: 1, min: -242.05027770996094, max: -35.56157302856445, mean: -74.09673309326172, var: 1007.929443359375, global_min: -242.05027770996094
it: 2, min: -148.7441864013672, max: -63.67831802368164, mean: -92.40605163574219, var: 432.71185302734375, global_min: -242.05027770996094
it: 3, min: -184.986328125, max: -54.77916717529297, mean: -89.20877075195312, var: 447.7952575683594, global_min: -242.05027770996094
it: 4, min: -176.3269500732422, max: -54.78565216064453, mean: -86.60679626464844, var: 411.7278137207031, global_min: -242.05027770996094
it: 5, min: -176.74252319335938, max: -44.86732864379883, mean: -97.45968627929688, var: 790.6591186523438, global_min: -242.05027770996094
it: 6, min: -195.65037536621094, max: -36.077144622802734, mean: -109.48660278320312, var: 1615.62841796875, global_min: -242.05027770996094
it: 7, min: -223.56182861328125, max: -45.06499481201172, mean: -108.86579895019531, var: 1972.4365234375, global_min: -242.05027770996094
it: 8, min: -223.4536590576172, max: -54.18488311767578, mean: -122.95753479003906, var: 2381.96484375, global_min: -242.05027770996094
it: 9, min: -251.0526580810547, max: -54.1606330871582, mean: -124.21231079101562, var: 2559.4794921875, global_min: -251.0526580810547
it: 10, min: -251.61642456054688, max: -54.598777770996094, mean: -125.96199035644531, var: 2594.93310546875, global_min: -251.61642456054688
it: 11, min: -251.00306701660156, max: -54.3640251159668, mean: -125.43475341796875, var: 2383.95849609375, global_min: -251.61642456054688
it: 12, min: -250.8958282470703, max: -63.796104431152344, mean: -128.56332397460938, var: 2484.4384765625, global_min: -251.61642456054688
it: 13, min: -260.5938720703125, max: -54.0677490234375, mean: -129.7264862060547, var: 2418.103515625, global_min: -260.5938720703125
it: 14, min: -259.7035217285156, max: -35.530738830566406, mean: -125.44811248779297, var: 2108.55615234375, global_min: -260.5938720703125
it: 15, min: -250.79940795898438, max: -35.8132438659668, mean: -122.41169738769531, var: 2094.07275390625, global_min: -260.5938720703125
it: 16, min: -250.98486328125, max: -63.655906677246094, mean: -125.6397705078125, var: 2610.412353515625, global_min: -260.5938720703125
it: 17, min: -251.0338134765625, max: -35.67851638793945, mean: -118.01527404785156, var: 2035.19287109375, global_min: -260.5938720703125
it: 18, min: -240.87803649902344, max: -45.31106185913086, mean: -116.3295669555664, var: 1958.8543701171875, global_min: -260.5938720703125
it: 19, min: -232.54010009765625, max: -35.779666900634766, mean: -119.01742553710938, var: 1905.919677734375, global_min: -260.5938720703125
it: 20, min: -241.6533660888672, max: -35.382606506347656, mean: -121.73307037353516, var: 2209.15673828125, global_min: -260.5938720703125
it: 21, min: -251.06069946289062, max: -35.33759689331055, mean: -114.64697265625, var: 2000.437255859375, global_min: -260.5938720703125
it: 22, min: -232.24166870117188, max: -54.17152786254883, mean: -123.95024871826172, var: 1933.28857421875, global_min: -260.5938720703125
it: 23, min: -250.53497314453125, max: -44.45059585571289, mean: -122.5287094116211, var: 1980.8167724609375, global_min: -260.5938720703125
it: 24, min: -250.65673828125, max: -63.49252700805664, mean: -128.59658813476562, var: 2265.398681640625, global_min: -260.5938720703125
it: 25, min: -260.2018127441406, max: -54.32381820678711, mean: -128.17616271972656, var: 2271.5556640625, global_min: -260.5938720703125
