it: 1, min: -58.0, max: -5.0, mean: -9.194999694824219, var: 29.816972732543945, global_min: -58.0
it: 2, min: -18.0, max: -10.0, mean: -16.732500076293945, var: 3.690943479537964, global_min: -58.0
it: 3, min: -33.0, max: -9.0, mean: -14.16249942779541, var: 14.391093254089355, global_min: -58.0
it: 4, min: -28.0, max: -10.0, mean: -18.752500534057617, var: 26.541242599487305, global_min: -58.0
it: 5, min: -38.0, max: -11.0, mean: -21.917499542236328, var: 62.90569305419922, global_min: -58.0
it: 6, min: -44.0, max: -11.0, mean: -28.53999900817871, var: 136.88839721679688, global_min: -58.0
it: 7, min: -57.0, max: -16.0, mean: -52.54249954223633, var: 46.86819076538086, global_min: -58.0
it: 8, min: -105.0, max: -20.0, mean: -67.05249786376953, var: 292.3947448730469, global_min: -105.0
it: 9, min: -134.0, max: -41.0, mean: -104.51499938964844, var: 706.2197265625, global_min: -134.0
it: 10, min: -209.0, max: -14.0, mean: -93.25999450683594, var: 1436.9522705078125, global_min: -209.0
it: 11, min: -187.0, max: -10.0, mean: -161.5625, var: 1851.720947265625, global_min: -209.0
it: 12, min: -323.0, max: -63.0, mean: -230.87249755859375, var: 7121.37109375, global_min: -323.0
it: 13, min: -462.0, max: -49.0, mean: -341.7200012207031, var: 24258.81640625, global_min: -462.0
it: 14, min: -683.0, max: -13.0, mean: -518.114990234375, var: 62752.1640625, global_min: -683.0
it: 15, min: -1000.0, max: -71.0, mean: -852.9674682617188, var: 97427.90625, global_min: -1000.0
it: 16, min: -1000.0, max: -89.0, mean: -997.7224731445312, var: 2069.615478515625, global_min: -1000.0
it: 17, min: -1000.0, max: -37.0, mean: -988.5399780273438, var: 10478.486328125, global_min: -1000.0
it: 18, min: -1000.0, max: -31.0, mean: -943.0224609375, var: 50244.8203125, global_min: -1000.0
it: 19, min: -1000.0, max: -76.0, mean: -996.66748046875, var: 2541.536865234375, global_min: -1000.0
it: 20, min: -1000.0, max: -5.0, mean: -982.3999633789062, var: 15675.0234375, global_min: -1000.0
it: 21, min: -1000.0, max: -4.0, mean: -985.3349609375, var: 14132.0419921875, global_min: -1000.0
it: 22, min: -1000.0, max: -5.0, mean: -952.5099487304688, var: 40343.1171875, global_min: -1000.0
it: 23, min: -1000.0, max: -4.0, mean: -971.3524780273438, var: 22005.8671875, global_min: -1000.0
it: 24, min: -1000.0, max: -74.0, mean: -955.3125, var: 34835.3984375, global_min: -1000.0
it: 25, min: -1000.0, max: -43.0, mean: -965.449951171875, var: 26732.0, global_min: -1000.0
it: 26, min: -1000.0, max: -54.0, mean: -989.0224609375, var: 8618.8818359375, global_min: -1000.0
it: 27, min: -1000.0, max: -1000.0, mean: -1000.0, var: 0.0, global_min: -1000.0
it: 28, min: -1000.0, max: -17.0, mean: -992.074951171875, var: 6579.2646484375, global_min: -1000.0
it: 29, min: -1000.0, max: -5.0, mean: -984.0899658203125, var: 14316.640625, global_min: -1000.0
it: 30, min: -1000.0, max: -43.0, mean: -989.9949951171875, var: 8115.02099609375, global_min: -1000.0
