it: 1, min: 8.229764938354492, max: 100.0, mean: 79.57594299316406, var: 733.3391723632812, global_min: 8.229764938354492
it: 2, min: 106.68671417236328, max: 200.0, mean: 169.54627990722656, var: 796.5669555664062, global_min: 8.229764938354492
it: 3, min: 89.66361236572266, max: 200.0, mean: 167.58163452148438, var: 801.7791748046875, global_min: 8.229764938354492
it: 4, min: 109.45375061035156, max: 200.0, mean: 166.15167236328125, var: 800.0352783203125, global_min: 8.229764938354492
it: 5, min: 117.48806762695312, max: 200.0, mean: 166.29527282714844, var: 767.8831176757812, global_min: 8.229764938354492
it: 6, min: 115.73542022705078, max: 200.0, mean: 166.029052734375, var: 805.4035034179688, global_min: 8.229764938354492
it: 7, min: 109.45375061035156, max: 200.0, mean: 166.27584838867188, var: 851.966552734375, global_min: 8.229764938354492
it: 8, min: 116.3216323852539, max: 200.0, mean: 166.5890655517578, var: 833.7783203125, global_min: 8.229764938354492
it: 9, min: 123.48649597167969, max: 200.0, mean: 165.71560668945312, var: 812.0946044921875, global_min: 8.229764938354492
it: 10, min: 115.14718627929688, max: 200.0, mean: 166.50697326660156, var: 807.3321533203125, global_min: 8.229764938354492
it: 11, min: 97.75701904296875, max: 200.0, mean: 166.65118408203125, var: 798.5472412109375, global_min: 8.229764938354492
it: 12, min: 125.44155883789062, max: 200.0, mean: 166.0790252685547, var: 778.858642578125, global_min: 8.229764938354492
it: 13, min: 125.44155883789062, max: 200.0, mean: 166.3170623779297, var: 827.7543334960938, global_min: 8.229764938354492
it: 14, min: 125.44155883789062, max: 200.0, mean: 166.6925506591797, var: 784.4945068359375, global_min: 8.229764938354492
it: 15, min: 108.22976684570312, max: 200.0, mean: 166.5839080810547, var: 785.3115234375, global_min: 8.229764938354492
it: 16, min: 101.64655303955078, max: 200.0, mean: 165.18319702148438, var: 830.864501953125, global_min: 8.229764938354492
it: 17, min: 125.44155883789062, max: 200.0, mean: 168.62242126464844, var: 749.554931640625, global_min: 8.229764938354492
it: 18, min: 109.45375061035156, max: 200.0, mean: 163.80673217773438, var: 813.8987426757812, global_min: 8.229764938354492
it: 19, min: 115.14718627929688, max: 200.0, mean: 166.67877197265625, var: 789.5906372070312, global_min: 8.229764938354492
it: 20, min: 89.66361236572266, max: 200.0, mean: 164.93600463867188, var: 801.9343872070312, global_min: 8.229764938354492
it: 21, min: 89.66361236572266, max: 200.0, mean: 163.50502014160156, var: 794.8187255859375, global_min: 8.229764938354492
it: 22, min: 108.22976684570312, max: 200.0, mean: 164.9998779296875, var: 760.8956298828125, global_min: 8.229764938354492
it: 23, min: 79.60563659667969, max: 200.0, mean: 165.8582000732422, var: 820.5067749023438, global_min: 8.229764938354492
it: 24, min: 111.87472534179688, max: 200.0, mean: 166.80874633789062, var: 774.322265625, global_min: 8.229764938354492
it: 25, min: 79.60563659667969, max: 200.0, mean: 164.60476684570312, var: 846.7340698242188, global_min: 8.229764938354492
it: 26, min: 101.64655303955078, max: 200.0, mean: 165.4598846435547, var: 822.9334716796875, global_min: 8.229764938354492
it: 27, min: 108.22976684570312, max: 200.0, mean: 164.65701293945312, var: 811.8323364257812, global_min: 8.229764938354492
it: 28, min: 108.22976684570312, max: 200.0, mean: 164.1324005126953, var: 817.0563354492188, global_min: 8.229764938354492
it: 29, min: 108.22976684570312, max: 200.0, mean: 164.6966552734375, var: 812.1984252929688, global_min: 8.229764938354492
it: 30, min: 106.99650573730469, max: 200.0, mean: 167.45606994628906, var: 798.5516357421875, global_min: 8.229764938354492
it: 31, min: 57.244956970214844, max: 200.0, mean: 165.21934509277344, var: 903.4724731445312, global_min: 8.229764938354492
it: 32, min: 89.66361236572266, max: 200.0, mean: 164.57752990722656, var: 850.6697998046875, global_min: 8.229764938354492
it: 33, min: 84.36599731445312, max: 200.0, mean: 163.50973510742188, var: 860.2617797851562, global_min: 8.229764938354492
it: 34, min: 111.87472534179688, max: 200.0, mean: 162.480712890625, var: 849.7484130859375, global_min: 8.229764938354492
it: 35, min: 109.45375061035156, max: 200.0, mean: 165.36041259765625, var: 892.1946411132812, global_min: 8.229764938354492
it: 36, min: 101.64655303955078, max: 200.0, mean: 162.9095458984375, var: 864.42138671875, global_min: 8.229764938354492
it: 37, min: 71.93266296386719, max: 200.0, mean: 161.6374053955078, var: 877.603759765625, global_min: 8.229764938354492
it: 38, min: 123.48649597167969, max: 200.0, mean: 161.86767578125, var: 868.9791870117188, global_min: 8.229764938354492
it: 39, min: 71.93266296386719, max: 200.0, mean: 163.39605712890625, var: 934.3372192382812, global_min: 8.229764938354492
it: 40, min: 88.61976623535156, max: 200.0, mean: 162.28125, var: 916.2987060546875, global_min: 8.229764938354492
it: 41, min: 97.75701904296875, max: 200.0, mean: 160.71322631835938, var: 899.8603515625, global_min: 8.229764938354492
it: 42, min: 106.99650573730469, max: 200.0, mean: 159.89630126953125, var: 882.410888671875, global_min: 8.229764938354492
it: 43, min: 84.36599731445312, max: 200.0, mean: 160.87298583984375, var: 960.5477905273438, global_min: 8.229764938354492
it: 44, min: 101.64655303955078, max: 200.0, mean: 160.4206085205078, var: 936.7567138671875, global_min: 8.229764938354492
it: 45, min: 109.45375061035156, max: 200.0, mean: 162.95895385742188, var: 859.6793823242188, global_min: 8.229764938354492
it: 46, min: 27.903671264648438, max: 200.0, mean: 161.15640258789062, var: 945.8516845703125, global_min: 8.229764938354492
it: 47, min: 76.97102355957031, max: 200.0, mean: 162.6369171142578, var: 934.1714477539062, global_min: 8.229764938354492
it: 48, min: 109.45375061035156, max: 200.0, mean: 161.82701110839844, var: 953.086669921875, global_min: 8.229764938354492
it: 49, min: 97.75701904296875, max: 200.0, mean: 162.02731323242188, var: 933.6052856445312, global_min: 8.229764938354492
it: 50, min: 89.66361236572266, max: 200.0, mean: 161.5363311767578, var: 905.3003540039062, global_min: 8.229764938354492
it: 51, min: 125.44155883789062, max: 200.0, mean: 160.7123260498047, var: 843.998046875, global_min: 8.229764938354492
it: 52, min: 125.44155883789062, max: 200.0, mean: 159.34521484375, var: 849.2237548828125, global_min: 8.229764938354492
it: 53, min: 122.359619140625, max: 200.0, mean: 161.46170043945312, var: 850.7973022460938, global_min: 8.229764938354492
it: 54, min: 48.39786148071289, max: 200.0, mean: 161.2249755859375, var: 929.5128784179688, global_min: 8.229764938354492
it: 55, min: 125.44155883789062, max: 200.0, mean: 160.2541961669922, var: 914.7732543945312, global_min: 8.229764938354492
