it: 1, min: -11.380230903625488, max: 100.0, mean: 61.1660270690918, var: 433.7021789550781, global_min: -11.380230903625488
it: 2, min: 62.06059646606445, max: 200.0, mean: 134.54348754882812, var: 554.2056884765625, global_min: -11.380230903625488
it: 3, min: 62.06059646606445, max: 200.0, mean: 140.45579528808594, var: 1251.6954345703125, global_min: -11.380230903625488
it: 4, min: 47.42194747924805, max: 200.0, mean: 136.50270080566406, var: 1771.38671875, global_min: -11.380230903625488
it: 5, min: 65.44155883789062, max: 200.0, mean: 121.63072204589844, var: 1645.1236572265625, global_min: -11.380230903625488
it: 6, min: 45.441558837890625, max: 200.0, mean: 120.7765121459961, var: 1721.1510009765625, global_min: -11.380230903625488
it: 7, min: 39.781368255615234, max: 200.0, mean: 112.20895385742188, var: 1663.3846435546875, global_min: -11.380230903625488
it: 8, min: 17.552583694458008, max: 200.0, mean: 101.31201934814453, var: 1436.1484375, global_min: -11.380230903625488
it: 9, min: 65.44155883789062, max: 200.0, mean: 106.42173767089844, var: 1589.130859375, global_min: -11.380230903625488
it: 10, min: 65.44155883789062, max: 200.0, mean: 98.72403717041016, var: 1734.2276611328125, global_min: -11.380230903625488
it: 11, min: 65.44155883789062, max: 200.0, mean: 92.39558410644531, var: 1436.7625732421875, global_min: -11.380230903625488
it: 12, min: 65.44155883789062, max: 200.0, mean: 89.96340942382812, var: 1434.9332275390625, global_min: -11.380230903625488
it: 13, min: 65.44155883789062, max: 200.0, mean: 84.98257446289062, var: 1277.54931640625, global_min: -11.380230903625488
it: 14, min: 65.44155883789062, max: 200.0, mean: 81.99082946777344, var: 1083.5438232421875, global_min: -11.380230903625488
it: 15, min: 65.44155883789062, max: 200.0, mean: 78.8279800415039, var: 1036.5616455078125, global_min: -11.380230903625488
it: 16, min: 65.44155883789062, max: 200.0, mean: 75.87116241455078, var: 828.3652954101562, global_min: -11.380230903625488
it: 17, min: 65.44155883789062, max: 200.0, mean: 73.06608581542969, var: 418.4772644042969, global_min: -11.380230903625488
it: 18, min: 65.44155883789062, max: 200.0, mean: 73.85747528076172, var: 528.348388671875, global_min: -11.380230903625488
it: 19, min: 65.44155883789062, max: 200.0, mean: 72.21845245361328, var: 369.6164245605469, global_min: -11.380230903625488
it: 20, min: 65.44155883789062, max: 193.02992248535156, mean: 71.75564575195312, var: 315.4988708496094, global_min: -11.380230903625488
it: 21, min: 65.44155883789062, max: 200.0, mean: 69.11546325683594, var: 131.2631072998047, global_min: -11.380230903625488
it: 22, min: 65.44155883789062, max: 200.0, mean: 69.92520141601562, var: 147.070068359375, global_min: -11.380230903625488
it: 23, min: 65.44155883789062, max: 125.44155883789062, mean: 69.78592681884766, var: 96.22612762451172, global_min: -11.380230903625488
it: 24, min: 65.44155883789062, max: 125.44155883789062, mean: 68.6224594116211, var: 93.96320343017578, global_min: -11.380230903625488
it: 25, min: 65.44155883789062, max: 125.44155883789062, mean: 69.12871551513672, var: 139.23495483398438, global_min: -11.380230903625488
it: 26, min: 65.44155883789062, max: 200.0, mean: 69.1703109741211, var: 203.44241333007812, global_min: -11.380230903625488
it: 27, min: 65.44155883789062, max: 200.0, mean: 70.14906311035156, var: 253.03587341308594, global_min: -11.380230903625488
it: 28, min: 65.44155883789062, max: 125.44155883789062, mean: 69.34456634521484, var: 138.54139709472656, global_min: -11.380230903625488
it: 29, min: 65.44155883789062, max: 125.44155883789062, mean: 68.87940979003906, var: 117.3432846069336, global_min: -11.380230903625488
it: 30, min: 65.44155883789062, max: 167.4775848388672, mean: 68.78584289550781, var: 120.93408203125, global_min: -11.380230903625488
it: 31, min: 65.44155883789062, max: 200.0, mean: 69.67139434814453, var: 196.94483947753906, global_min: -11.380230903625488
it: 32, min: 65.44155883789062, max: 200.0, mean: 68.72171020507812, var: 124.00331115722656, global_min: -11.380230903625488
it: 33, min: 65.44155883789062, max: 125.44155883789062, mean: 69.41974639892578, var: 125.405029296875, global_min: -11.380230903625488
it: 34, min: 65.44155883789062, max: 125.44155883789062, mean: 68.93729400634766, var: 101.79998016357422, global_min: -11.380230903625488
it: 35, min: 65.44155883789062, max: 200.0, mean: 68.09363555908203, var: 140.4652557373047, global_min: -11.380230903625488
it: 36, min: 65.44155883789062, max: 125.44155883789062, mean: 68.36285400390625, var: 140.35206604003906, global_min: -11.380230903625488
it: 37, min: 65.44155883789062, max: 125.44155883789062, mean: 67.32181549072266, var: 64.70111846923828, global_min: -11.380230903625488
it: 38, min: 65.44155883789062, max: 125.44155883789062, mean: 66.35511779785156, var: 24.159208297729492, global_min: -11.380230903625488
it: 39, min: 65.44155883789062, max: 200.0, mean: 67.49488067626953, var: 105.73249816894531, global_min: -11.380230903625488
