it: 1, min: 13.934309959411621, max: 34.99178695678711, mean: 22.630678176879883, var: 10.441325187683105, global_min: 13.934309959411621
it: 2, min: 7.140433311462402, max: 24.149919509887695, mean: 14.54165267944336, var: 8.158004760742188, global_min: 7.140433311462402
it: 3, min: 1.278172492980957, max: 19.631898880004883, mean: 10.617668151855469, var: 16.721229553222656, global_min: 1.278172492980957
it: 4, min: 1.4706093072891235, max: 17.659399032592773, mean: 10.70412540435791, var: 10.997565269470215, global_min: 1.278172492980957
it: 5, min: 4.497585296630859, max: 17.93973159790039, mean: 11.57271957397461, var: 6.435895919799805, global_min: 1.278172492980957
it: 6, min: 5.073150157928467, max: 18.733633041381836, mean: 11.933427810668945, var: 5.027876377105713, global_min: 1.278172492980957
it: 7, min: 6.492156028747559, max: 16.99308204650879, mean: 11.71573257446289, var: 4.347414016723633, global_min: 1.278172492980957
it: 8, min: 6.008111000061035, max: 17.02009391784668, mean: 11.50534439086914, var: 4.291382789611816, global_min: 1.278172492980957
it: 9, min: 6.21262788772583, max: 17.350997924804688, mean: 11.393247604370117, var: 4.123922824859619, global_min: 1.278172492980957
it: 10, min: 6.891169548034668, max: 16.820755004882812, mean: 11.437309265136719, var: 3.6600847244262695, global_min: 1.278172492980957
it: 11, min: 6.023313045501709, max: 16.900516510009766, mean: 11.242807388305664, var: 3.0522658824920654, global_min: 1.278172492980957
it: 12, min: 6.1532135009765625, max: 17.016237258911133, mean: 11.41463851928711, var: 2.8502037525177, global_min: 1.278172492980957
it: 13, min: 6.594825267791748, max: 16.741531372070312, mean: 11.578208923339844, var: 2.6490731239318848, global_min: 1.278172492980957
it: 14, min: 8.515840530395508, max: 15.591045379638672, mean: 11.848481178283691, var: 1.6767562627792358, global_min: 1.278172492980957
it: 15, min: 6.967515468597412, max: 16.12029457092285, mean: 11.929500579833984, var: 1.2871289253234863, global_min: 1.278172492980957
it: 16, min: 9.712200164794922, max: 15.632845878601074, mean: 12.120556831359863, var: 1.0655245780944824, global_min: 1.278172492980957
it: 17, min: 10.273961067199707, max: 15.546603202819824, mean: 12.26061725616455, var: 1.0672367811203003, global_min: 1.278172492980957
it: 18, min: 8.872236251831055, max: 15.87845516204834, mean: 12.123366355895996, var: 1.0179301500320435, global_min: 1.278172492980957
it: 19, min: 10.037906646728516, max: 15.233977317810059, mean: 12.122885704040527, var: 0.8920600414276123, global_min: 1.278172492980957
it: 20, min: 9.756415367126465, max: 16.075132369995117, mean: 12.111265182495117, var: 1.067508578300476, global_min: 1.278172492980957
it: 21, min: 8.862896919250488, max: 15.747672080993652, mean: 11.839216232299805, var: 0.9232609868049622, global_min: 1.278172492980957
it: 22, min: 8.83693790435791, max: 16.62189483642578, mean: 11.841679573059082, var: 1.3368229866027832, global_min: 1.278172492980957
it: 23, min: 8.150168418884277, max: 16.01722526550293, mean: 11.830048561096191, var: 1.5295346975326538, global_min: 1.278172492980957
it: 24, min: 8.671122550964355, max: 16.011354446411133, mean: 11.809675216674805, var: 1.3794159889221191, global_min: 1.278172492980957
it: 25, min: 8.82065486907959, max: 16.409542083740234, mean: 11.91710376739502, var: 1.7379730939865112, global_min: 1.278172492980957
it: 26, min: 8.211965560913086, max: 16.381982803344727, mean: 11.847559928894043, var: 1.7173982858657837, global_min: 1.278172492980957
