it: 1, min: -12.023299217224121, max: 14.7677583694458, mean: 2.0224480628967285, var: 19.167919158935547, global_min: -12.023299217224121
it: 2, min: -18.710596084594727, max: 7.52785062789917, mean: -2.623972177505493, var: 16.93535041809082, global_min: -18.710596084594727
it: 3, min: -30.77011489868164, max: 3.5238864421844482, mean: -10.311529159545898, var: 31.834796905517578, global_min: -30.77011489868164
it: 4, min: -78.32176971435547, max: -11.48868465423584, mean: -32.20573043823242, var: 135.00759887695312, global_min: -78.32176971435547
it: 5, min: -97.75386810302734, max: 6.62060546875, mean: -47.38812255859375, var: 166.55520629882812, global_min: -97.75386810302734
it: 6, min: -94.42713165283203, max: -6.448009490966797, mean: -51.05630874633789, var: 239.59437561035156, global_min: -97.75386810302734
it: 7, min: -111.62826538085938, max: -19.032882690429688, mean: -56.896522521972656, var: 280.8730773925781, global_min: -111.62826538085938
it: 8, min: -107.2977294921875, max: -18.304750442504883, mean: -57.09699630737305, var: 315.5284729003906, global_min: -111.62826538085938
it: 9, min: -119.80000305175781, max: -29.29190444946289, mean: -71.2760238647461, var: 327.0246276855469, global_min: -119.80000305175781
it: 10, min: -127.67976379394531, max: -3.2266266345977783, mean: -78.21279907226562, var: 400.24542236328125, global_min: -127.67976379394531
it: 11, min: -157.2211151123047, max: -52.74582290649414, mean: -106.93392944335938, var: 372.1941223144531, global_min: -157.2211151123047
it: 12, min: -168.77772521972656, max: -43.653404235839844, mean: -131.3914031982422, var: 390.484130859375, global_min: -168.77772521972656
it: 13, min: -191.37942504882812, max: -27.188735961914062, mean: -153.36752319335938, var: 465.1781921386719, global_min: -191.37942504882812
it: 14, min: -221.5643768310547, max: -128.98312377929688, mean: -185.2895050048828, var: 203.07408142089844, global_min: -221.5643768310547
it: 15, min: -239.40203857421875, max: -181.29208374023438, mean: -216.03094482421875, var: 90.25688934326172, global_min: -239.40203857421875
it: 16, min: -262.7372741699219, max: -203.59051513671875, mean: -241.23301696777344, var: 80.60810089111328, global_min: -262.7372741699219
it: 17, min: -282.7655944824219, max: -240.13525390625, mean: -266.30487060546875, var: 50.00950622558594, global_min: -282.7655944824219
it: 18, min: -300.1898498535156, max: -266.98675537109375, mean: -286.4168701171875, var: 28.311988830566406, global_min: -300.1898498535156
it: 19, min: -317.8900451660156, max: -283.8500671386719, mean: -300.9743957519531, var: 26.02899932861328, global_min: -317.8900451660156
it: 20, min: -325.57598876953125, max: -288.226318359375, mean: -312.9329528808594, var: 25.790884017944336, global_min: -325.57598876953125
it: 21, min: -335.1650085449219, max: -303.6679382324219, mean: -323.9901428222656, var: 19.82946014404297, global_min: -335.1650085449219
it: 22, min: -343.1967468261719, max: -321.611572265625, mean: -333.8199462890625, var: 14.673440933227539, global_min: -343.1967468261719
it: 23, min: -349.6992492675781, max: -332.1763916015625, mean: -342.0050048828125, var: 9.64358139038086, global_min: -349.6992492675781
it: 24, min: -353.35687255859375, max: -333.3328552246094, mean: -346.6455383300781, var: 9.359528541564941, global_min: -353.35687255859375
it: 25, min: -357.22955322265625, max: -339.53863525390625, mean: -349.75244140625, var: 8.066678047180176, global_min: -357.22955322265625
it: 26, min: -358.2876892089844, max: -341.80987548828125, mean: -351.6913146972656, var: 7.007342338562012, global_min: -358.2876892089844
it: 27, min: -358.7421569824219, max: -346.87518310546875, mean: -352.93585205078125, var: 4.933373928070068, global_min: -358.7421569824219
it: 28, min: -359.6908874511719, max: -343.917236328125, mean: -353.458984375, var: 4.800324440002441, global_min: -359.6908874511719
it: 29, min: -361.0160827636719, max: -348.3631896972656, mean: -353.8281555175781, var: 5.195829391479492, global_min: -361.0160827636719
it: 30, min: -359.7851257324219, max: -348.0896911621094, mean: -354.2443542480469, var: 5.610716342926025, global_min: -361.0160827636719
it: 31, min: -361.3857727050781, max: -348.04327392578125, mean: -354.5030517578125, var: 6.016458988189697, global_min: -361.3857727050781
it: 32, min: -360.783203125, max: -348.26983642578125, mean: -355.0699768066406, var: 5.967593669891357, global_min: -361.3857727050781
it: 33, min: -361.8952941894531, max: -349.17108154296875, mean: -354.9989013671875, var: 5.551363945007324, global_min: -361.8952941894531
it: 34, min: -362.68243408203125, max: -348.4079895019531, mean: -355.1131896972656, var: 6.714292526245117, global_min: -362.68243408203125
it: 35, min: -361.263916015625, max: -348.56744384765625, mean: -355.1971740722656, var: 6.064941883087158, global_min: -362.68243408203125
it: 36, min: -362.2535400390625, max: -346.8072814941406, mean: -355.2748107910156, var: 6.104153156280518, global_min: -362.68243408203125
it: 37, min: -361.96337890625, max: -348.1399841308594, mean: -355.45654296875, var: 5.666862487792969, global_min: -362.68243408203125
it: 38, min: -361.4539489746094, max: -348.5479431152344, mean: -355.6113586425781, var: 7.004129409790039, global_min: -362.68243408203125
it: 39, min: -362.413330078125, max: -348.4898681640625, mean: -355.9787292480469, var: 6.139659404754639, global_min: -362.68243408203125
it: 40, min: -362.4068298339844, max: -346.857666015625, mean: -355.8358154296875, var: 7.173377513885498, global_min: -362.68243408203125
it: 41, min: -362.8259582519531, max: -348.1318664550781, mean: -356.1297607421875, var: 6.830189228057861, global_min: -362.8259582519531
it: 42, min: -362.5505676269531, max: -348.9997863769531, mean: -356.1595764160156, var: 5.598140239715576, global_min: -362.8259582519531
