it: 1, min: -5.87091588973999, max: 4.786530494689941, mean: 1.7848292589187622, var: 2.4447669982910156, global_min: -5.87091588973999
it: 2, min: -6.258604526519775, max: 2.5505425930023193, mean: -2.6838183403015137, var: 5.476617336273193, global_min: -6.258604526519775
it: 3, min: -4.123937129974365, max: -1.0256091356277466, mean: -2.8006582260131836, var: 0.26022499799728394, global_min: -6.258604526519775
it: 4, min: -4.358850002288818, max: -2.1365623474121094, mean: -3.1227519512176514, var: 0.14426793158054352, global_min: -6.258604526519775
it: 5, min: -5.958695888519287, max: -2.834622383117676, mean: -3.9164416790008545, var: 0.23831599950790405, global_min: -6.258604526519775
it: 6, min: -8.158995628356934, max: -3.5872995853424072, mean: -5.3398919105529785, var: 0.4570160508155823, global_min: -8.158995628356934
it: 7, min: -10.794069290161133, max: -4.9668049812316895, mean: -7.226202011108398, var: 1.2844207286834717, global_min: -10.794069290161133
it: 8, min: -23.647462844848633, max: -6.535211086273193, mean: -9.874211311340332, var: 3.432694911956787, global_min: -23.647462844848633
it: 9, min: -30.384428024291992, max: -7.917826175689697, mean: -12.887934684753418, var: 17.058164596557617, global_min: -30.384428024291992
it: 10, min: -43.49474334716797, max: -3.618971586227417, mean: -20.91457748413086, var: 76.2509536743164, global_min: -43.49474334716797
it: 11, min: -65.45316314697266, max: -6.321446418762207, mean: -33.41067886352539, var: 124.37449645996094, global_min: -65.45316314697266
it: 12, min: -127.41519927978516, max: -0.4262217879295349, mean: -53.77206802368164, var: 461.3143615722656, global_min: -127.41519927978516
it: 13, min: -227.29550170898438, max: -5.03501558303833, mean: -97.73716735839844, var: 1953.3502197265625, global_min: -227.29550170898438
it: 14, min: -410.096435546875, max: -28.224191665649414, mean: -228.86427307128906, var: 7334.814453125, global_min: -410.096435546875
it: 15, min: -549.2047119140625, max: -95.7009048461914, mean: -384.46685791015625, var: 5600.314453125, global_min: -549.2047119140625
it: 16, min: -725.1571655273438, max: -95.50077819824219, mean: -412.86529541015625, var: 20754.919921875, global_min: -725.1571655273438
it: 17, min: -721.9277954101562, max: -77.78946685791016, mean: -431.05291748046875, var: 23851.611328125, global_min: -725.1571655273438
